NTH,Airtel,9mobile,Globacom,MTN,Visafone,TOTAL
Jan'17,"34,666,765","20,521,952","37,222,902","62,248,827",,"154,660,446"
Dec'16,"34,116,409","20,809,889","37,357,843","61,840,461",,"154,124,602"
Nov'16,"33,376,556","21,621,832","37,268,483","61,280,293",,"153,547,164"
Oct'16,"32,775,916","22,210,315","37,117,992","60,982,487",,"153,086,710"
Sep'16,"32,775,916","22,534,800","36,967,712","60,558,569",,"152,836,997"
Aug'16,"32,375,069","22,599,670","36,752,012","60,558,569",,"152,285,320"
Jul'16,"32,070,861","22,542,965","36,587,393","58,506,858",,"149,708,077"
Jun'16,"31,978,848","22,469,896","36,320,572","58,409,767",,"149,179,083"
May'16,"31,838,965","22,325,033","35,685,287","58,339,758",,"148,189,043"
Apr'16,"32,445,285","22,121,842","35,128,955","57,170,274",,"146,866,356"
Mar'16,"33,866,798","21,877,542","34,608,793","57,045,721",,"147,398,854"
Feb'16,"33,595,561","21,840,452","34,003,841","56,848,516",,"146,288,370"
Jan'16,"33,155,339","22,035,107","33,193,174","60,639,299",,"149,022,919"
Dec'15,"32,268,301","22,161,290","32,999,384","61,252,387",,"148,681,362"
Nov'15,"31,936,152","22,783,861","31,170,100","62,597,757",,"149,787,120"
Oct'15,"31,273,483","23,180,651","31,994,298","63,234,827",,"149,683,259"
Sep'15,"31,134,625","23,492,214","31,306,472","62,493,732",,"148,427,043"
Aug'15,"30,569,278","23,307,025","31,445,115","63,381,742",,"148,703,160"
Jul'15,"30,075,643","23,029,329","31,256,677","64,133,556",,"148,495,205"
Jun'15,"29,564,766","22,852,232","31,256,677","62,813,111",,"146,486,786"
May'15,"29,539,739","22,597,264","30,482,435","61,767,403",,"144,386,841"
Apr'15,"29,291,114","22,444,198","30,040,119","61,281,803",,"143,057,234"
Mar'15,"28,680,757","22,235,557","29,577,125","61,149,397",,"141,642,836"
Feb'15,"28,380,848","22,015,685","28,877,537","61,001,529",,"140,275,599"
Jan'15,"27,989,580","21,559,667","28,486,530","60,495,053",,"138,530,830"
Dec'14,"27,556,544","21,103,749","28,219,089","59,893,093",,"136,772,475"
Nov'14,"26,836,050","20,565,917","27,591,967","59,046,669",,"134,040,603"
Oct'14,"26,504,712","20,162,932","27,889,235","58,523,509",,"133,080,388"
Sep'14,"26,054,251","19,881,519","27,611,353","58,363,105",,"131,910,228"
Aug'14,"25,428,448","19,684,597","27,483,195","58,271,212",,"130,867,452"
Jul'14,"24,865,900","19,470,884","27,352,007","58,289,807",,"129,978,598"
Jun'14,"25,302,160","19,390,285","27,327,646","58,516,759",,"130,536,850"
May'14,"25,452,055","19,338,592","25,690,103","58,415,881",,"128,896,631"
